----
l_I: number of links between disease and dieases of same specialty
l_O: number of links between disease and diseases of different specialty
l_U: number of links between disease and unlabelled diseases

----
disease;specialty;l_I;l_O;l_U
type_2_diabetes;endocrinology;4;3;0
pancreatitis;gastroenterology;0;0;0
cushing-disease;endocrinology;0;0;0
metabolic-syndrome;endocrinology;0;0;0
infection;internal medicine;0;0;0
hypothyroidism;endocrinology;0;0;0
hemochromatosis;hematology;0;0;0
pheochromocytoma;endocrinology;0;0;0
haemorrhoids_(piles);gastroenterology;1;0;3
anal-fissures;None;0;0;0
diverticulosis;gastroenterology;0;0;0
colon-polyps-;None;0;0;0
abnormal-blood-vessels-in-the-colon;None;0;0;0
multiple_sclerosis;neurology;7;10;1
acute-disseminated-encephalomyelitis;neurology;0;0;0
viral-infection;None;0;0;0
spondylopathies;rheumatology;0;0;0
bipolar-disorder;psychiatry;3;2;2
neuromyelitis-optica-spectrum-disorder;neurology;0;0;0
neuropathy;neurology;0;0;0
radiologically-isolated-syndrome;neurology;0;0;0
sjögren-s-syndrome;rheumatology;0;0;0
alzheimer-s;neurology;0;0;0
myasthenia-gravis;rheumatology;0;0;0
vitamin-b12-deficiency;GP / pediatry;0;0;0
stroke;neurology;1;0;5
chronic_fatigue_syndrome;neurology;0;5;5
anorexia_nervosa;psychiatry;0;2;3
bulimia-nervosa;None;0;0;0
achalasia;gastroenterology;0;0;0
illness-anxiety-disorder;None;0;0;0
body-dysmorphic-disorder;None;0;0;0
celiac_disease;gastroenterology;3;3;1
motor_neurone_disease_(mnd);neurology;0;4;8
paraproteinanemic-neuropathy;None;0;0;0
post-polio-syndrome;None;0;0;0
lead-poisoning;internal medicine;0;0;0
degenerative-spondylotic-myeloradiculopathic-disease;None;0;0;0
kennedy-s-disease;None;0;0;0
hyperparathrodism;None;0;0;0
adrenomyeloneuropathy;None;0;0;0
spinal-muscular-atrophy;None;0;0;0
polymyositis;None;0;0;0
hiv;infectious disease;5;7;7
flu;GP / pediatry;0;13;3
mononucleosis-;infectious disease;0;0;0
blood_poisoning_(sepsis);internal medicine;1;8;0
pulmonary-embolism;cardiology;0;0;0
adrenal-insufficiency;endocrinology;0;0;0
colitis;gastroenterology;0;0;0
hypovolemia;internal medicine;0;0;0
anaphylaxis;allergology;0;0;6
bowel-obstruction;gastroenterology;0;0;0
diabetic-ketoacidosis;endocrinology;0;0;0
common_heart_conditions;cardiology;0;1;4
polygenic-hypercholesterolemia;None;0;0;0
kawasaki-disease;infectious disease;0;0;0
thromboangiitis-obliterans;None;0;0;0
hypertension;None;0;0;0
pulmonary-embolism-pe-;None;0;0;0
tuberculosis_(tb);infectious disease;1;2;3
brucellosis;infectious disease;0;0;0
mycoplasmal-pneumonia;None;0;0;0
bacterial-pneumonia;None;0;0;0
bronchogenic-carcinoma;None;0;0;0
parkinson's_disease;neurology;2;1;7
traumatic-head-injury;None;0;0;0
dementia-with-lewy-bodies;None;0;0;0
essential-tremor;None;0;0;0
multiple-system-atrophy;None;0;0;0
normal-pressure-hydrocephalus;None;0;0;0
stress;psychiatry;0;0;0
progressive-supranuclear-palsy;None;0;0;0
corticobasal-syndrome;None;0;0;0
acute-viral-hepatitis;None;0;0;0
rubella;infectious disease;0;0;0
acute-toxoplasmosis;None;0;0;0
viral-gastroenteritis;gastroenterology;0;0;0
burkitt-s-lymphoma;None;0;0;0
typhoid;infectious disease;0;0;0
primary-herpes-simplex-infection;None;0;0;0
pharyngitis;None;0;0;0
malaria;infectious disease;1;1;1
secondary-syphilis;None;0;0;0
acute-cmv-infection;None;0;0;0
influenza;GP / pediatry;0;0;0
irritable_bowel_syndrome_(ibs);gastroenterology;8;2;3
microscopic-colitis;None;0;0;0
parasites;None;0;0;0
endometriosis;endocrinology;0;5;4
intestinal-bacterial-overgrowth;None;0;0;0
gallstones;gastroenterology;3;3;1
crohn-s-disease;gastroenterology;0;0;0
lactose_intolerance;gastroenterology;2;0;0
ulcerative_colitis;gastroenterology;2;0;3
stomach_cancer;gastroenterology;5;1;3
diverticulitis-;gastroenterology;0;0;0
skin_cancer_(melanoma);dermatology;5;0;0
nevus-;dermatology;0;0;0
sebaceous-hyperplasia;dermatology;0;0;0
seborrheic-keratoses;dermatology;0;0;0
cherry-angioma;dermatology;0;0;0
skin-cancer;dermatology;0;0;0
parapsoriasis;None;0;0;0
acne;dermatology;0;0;0
keratosis-pilaris;None;0;0;0
seborrheir-dermatitis;None;0;0;0
testicular_cancer;urology;1;0;7
spermatocele;None;0;0;0
hydrocele;None;0;0;0
syphilitic-gumma;None;0;0;0
testicular-torsion;urology;0;0;0
varicocele;None;0;0;0
epididymitis;None;0;0;0
epididymoorchitis;None;0;0;0
hematoma-;None;0;0;0
spleen_problems_and_spleen_removal;hematology;0;2;3
myeloproliferative-disease;None;0;0;0
portal-vein-obstruction;None;0;0;0
leishmaniasis-;None;0;0;0
osteoporosis;rheumatology;0;1;2
osteomalacia-;None;0;0;0
primary-hyperparathyroidism;None;0;0;0
rheumatic-diseases;None;0;0;0
mental-health-problems;None;0;0;0
neurological-disorders;None;0;0;0
encephalitis;neurology;1;5;0
epilepticus;neurology;0;0;0
rocky-mountain-spotted-fever;infectious disease;0;0;0
autoimmune-disease;rheumatology;0;0;0
acute-hemorrhage;surgery;0;0;0
erhlichiosis;infectious disease;0;0;0
hepatitis_c;hepatology;3;6;4
hepatitis-a;hepatology;0;0;0
gastroenteritis;gastroenterology;3;2;8
alcoholic-liver-disease;None;0;0;0
malignant-lymphoma;None;0;0;0
hepatitis-d;hepatology;0;0;0
liver-abscess;gastroenterology;0;0;0
cholelithiasis;None;0;0;0
hepatitis-e;hepatology;0;0;0
peptic-ulcer-disease;gastroenterology;0;0;0
cholangitis;gastroenterology;0;0;0
hepatitis-b;None;0;0;0
cholecystitis;gastroenterology;0;0;0
bile_duct_cancer_(cholangiocarcinoma);hepatology;0;2;7
xanthogranulomatous-cholangitis;None;0;0;0
primary-sclerosing-cholangitis;None;0;0;0
acquired-immunodeficiency-syndrome-cholangiopathy;None;0;0;0
metastases;None;0;0;0
mirizzi-syndrome;None;0;0;0
recurrent-sclerosing-cholangitis;None;0;0;0
autoimmune-pancreatitis;gastroenterology;0;0;0
inflammatory-pseudotumor;None;0;0;0
asthma;allergology;0;3;2
copd;pulmonology;0;0;0
vocal-cord-dysfunction;None;0;0;0
chronic-rhinosinusitis-;None;0;0;0
congestive-heart-failure;cardiology;0;0;0
pancreatic_cancer;gastroenterology;4;0;3
muscular-pain-;None;0;0;0
irritable-bowel-syndrome;gastroenterology;0;0;0
peptic-ulcer;None;0;0;0
gallbladder-disease;None;0;0;0
hiatus_hernia;gastroenterology;3;1;3
esophageal-stricture;gastroenterology;0;0;0
diffuse-esophageal-spasm;None;0;0;0
esophageal-web;None;0;0;0
gerd;gastroenterology;0;0;0
plummer-vinson-syndrome;None;0;0;0
sepsis-and-other-infections;None;0;0;0
bell-s-palsy;None;0;0;0
multiple-sclerosis-ms-;None;0;0;0
seizure;None;0;0;0
brain-tumours-;None;0;0;0
oral_thrush_in_adults;otolaryngology;1;4;0
coated-or-white-tongue;endodontics;0;0;0
apthous-mouth-ulcers;endodontics;0;0;0
geographic-tongue;endodontics;0;0;0
hairy-leukoplakia;otolaryngology;0;0;0
oral-lichen-planus;dentist;0;0;0
norovirus;GP / pediatry;0;0;4
adenovirus;None;0;0;0
sapovirus;None;0;0;0
rotavirus;None;0;0;0
astrovirus;None;0;0;0
gonorrhoea;infectious disease;0;5;4
orchitis;None;0;0;0
vaginitis;gynecology;0;0;0
pregnancy;None;0;0;0
cervicitis;gynecology;0;0;0
non-gonorrheal-urethritis;None;0;0;0
prostatitis-;None;0;0;0
exanthema-subitum;None;0;0;0
right-sided-pneumonia;None;0;0;0
otitis;None;0;0;0
tonsillitis;otolaryngology;0;0;2
slapped_cheek_syndrome;GP / pediatry;1;3;1
roseola;GP / pediatry;0;0;0
streptococcal-scarlet-fever;None;0;0;0
dysphagia_(swallowing_problems);otolaryngology;0;2;4
heart-disease;cardiology;0;0;0
tracheo-esophageal-fistula;None;0;0;0
rumination-syndrome;None;0;0;0
odynophagia-;None;0;0;0
globus-sensation;None;0;0;0
urinary_tract_infection_(uti);urology;1;2;1
mycoplasma;None;0;0;0
chlamydia;gynecology;1;2;1
cystitis;urology;2;2;3
sinus-problems;None;0;0;0
neurasthenia;None;0;0;0
myalgic-encephalomyelitis;None;0;0;0
fibromyalgia-syndrome;None;0;0;0
chronic-mononucleosis-;None;0;0;0
hepatitis;hepatology;0;0;0
sexually-transmitted-disease;None;0;0;0
gallbladder-agenesis;gastroenterology;0;0;0
bladder_cancer;urology;3;1;4
thrush;infectious disease;0;12;3
diabetes-related-skin-conditions;None;0;0;0
herpes;dermatology;0;0;0
genital_warts;gynecology;0;0;3
trichomoniasis-;None;0;0;0
obsessive_compulsive_disorder_(ocd);psychiatry;3;0;3
tourette-syndrome;None;0;0;0
anxiety-disorders;psychiatry;0;0;0
schizophrenia;psychiatry;1;0;5
obsessive-compulsive-personality-disorder-;None;0;0;0
autism-spectrum-disorder-asd-;None;0;0;0
ewing_sarcoma;oncology;0;1;3
benign-tumour;None;0;0;0
abscess;GP / pediatry;0;0;0
osteomyelitis;None;0;0;0
type_1_diabetes;endocrinology;0;3;0
stomach_ulcer;gastroenterology;2;0;2
gastroesophageal-reflux;None;0;0;0
biliary-tract-disease;None;0;0;0
chronic_pancreatitis;gastroenterology;4;1;7
chronic_myeloid_leukaemia;hematology;1;0;2
myeloproliferative-neoplasms;hematology;0;0;0
myeloid-neoplasms;None;0;0;0
myelodysplastic-neoplasms;None;0;0;0
multiple_sclerosis_(ms);neurology;6;9;0
intestinal-tract-infections;None;0;0;0
anaemia;hematology;0;0;0
cystic_fibrosis;pulmonology;0;0;7
heart_attack;cardiology;0;2;2
chest-pain-from-operation;None;0;0;0
indigestion;gastroenterology;3;1;0
muscle-pain;None;0;0;0
ulcers;None;0;0;0
hiatal-herias;gastroenterology;0;0;0
dementia;psychiatry;0;5;2
alzheimer-s-disease;neurology;0;0;0
diabetes;endocrinology;4;6;0
thyroid-disease;None;0;0;0
vestibular-disorders;None;0;0;0
alcohol-related_liver_disease;hepatology;2;0;0
breast_cancer;oncology;2;15;6
radial-scars;gynecology;0;0;0
phyllodes-tumours;oncology;0;0;0
hormone-related-changes;None;0;0;0
oil-cysts;gynecology;0;0;0
hemangioma;dermatology;0;0;0
mastitis;gynecology;0;0;0
neurofibroma;neurology;0;0;0
breast-cysts;None;0;0;0
sarcoma;oncology;0;0;0
adenosis;gynecology;0;0;0
fibroadenomas;gynecology;0;0;0
fibrosis-;pulmonology;0;0;0
lobular-hyperplasia;gynecology;0;0;0
benign-conditions;None;0;0;0
galactocele;None;0;0;0
duct-ectasia;gynecology;0;0;0
intraductal-papillomas;gynecology;0;0;0
gynecomastia;endocrinology;0;0;0
hamartoma;neurology;0;0;0
lipoma;dermatology;0;0;0
fat-necrosis;gynecology;0;0;0
granular-cell-tumour;None;0;0;0
discoid_eczema;dermatology;3;0;1
lichen-aureus;None;0;0;0
lymphogranuloma_venereum_(lgv);gynecology;0;0;5
granuloma-inguinale;None;0;0;0
chancroid;None;0;0;0
hsv-2;None;0;0;0
herpes-simplex;None;0;0;0
fahr-s-syndrome;None;0;0;0
delusional-disorder;None;0;0;0
anti-nmdar-encephalitis;None;0;0;0
tularemia;None;0;0;0
sporotrichosis;None;0;0;0
leprosy;None;0;0;0
neoplasms-;None;0;0;0
nodal-metastasis;None;0;0;0
bacillary-angiomatosis;infectious disease;0;0;0
mycobacteriosis;None;0;0;0
lymphoma;hematology;0;0;0
cat-scratch-disease;None;0;0;0
halogenoderma;None;0;0;0
kaposi-sarcoma;infectious disease;0;0;0
penile-pearly-papules;None;0;0;0
moles;None;0;0;0
skin-tags;None;0;0;0
bowel_cancer;gastroenterology;3;0;1
haemorrhoids;None;0;0;0
genital_herpes;gynecology;0;3;4
erythema-multiforme;None;0;0;0
behcet-syndrome;None;0;0;0
trauma;None;0;0;0
reiter-syndrome;None;0;0;0
lichen_planus;dermatology;1;2;5
inflammatory-bowel-disease;gastroenterology;0;0;0
skin_cancer_(non-melanoma);dermatology;6;1;0
molluscum-contagiosum;dermatology;0;0;0
stasis-ulcers-;cardiology;0;0;0
verruca-vulgaris;dermatology;0;0;0
appendageal-tumours;dermatology;0;0;0
intradermal-nevus;dermatology;0;0;0
amelanotic-melanoma;dermatology;0;0;0
constipation;gastroenterology;2;3;3
pelvic-inflammatory-disease;gynecology;1;4;3
bacterial-gastroenteritis;GP / pediatry;0;0;0
abdominal-abscess;None;0;0;0
panic-attacks;None;0;0;0
acute-generalized-urticaria;None;0;0;0
acute-angioedema;None;0;0;0
acute-anxiety;None;0;0;0
acute-asthma-exacerbations;None;0;0;0
syncope;None;0;0;0
mesothelioma;oncology;0;9;7
coronary-artery-disease;None;0;0;0
angiosarcoma;None;0;0;0
metastatic-lung-cancer;None;0;0;0
bronchitis;pulmonology;1;2;2
emphysema-;None;0;0;0
ibs;None;0;0;0
adenocarcinoma;None;0;0;0
pneumonia;pulmonology;2;7;9
hernia;None;0;0;0
lung_cancer;pulmonology;0;1;2
trichomonas_infection;gynecology;5;2;5
balantidiasis;None;0;0;0
cystitis-nonbacterial;None;0;0;0
urethritis;None;0;0;0
candidiasis;gynecology;0;0;0
epididymitis-imaging;None;0;0;0
bacterial-prostatitis;None;0;0;0
swollen_glands;otolaryngology;0;2;2
skin-neoplasms;None;0;0;0
parkinson-disease;None;0;0;0
myositis;None;0;0;0
calcium-pyrophosphate-deposition-disease;None;0;0;0
giant-cell-arteritis;None;0;0;0
chronic_lymphocytic_leukaemia;oncology;0;2;5
myelodysplastic-syndromes;hematology;0;0;0
b-cell-prolymphocytic-leukemia-;None;0;0;0
mantle-cell-lymphoma-;None;0;0;0
richter-s-syndrome;None;0;0;0
hairy-cell-leukemia;None;0;0;0
chronic-myelogenous-leukemia;hematology;0;0;0
pleurisy;pulmonology;1;2;9
reactive-eosinophilic-pleuritis;None;0;0;0
chronic-renal-failure;None;0;0;0
paragonimiasis;None;0;0;0
familial-mediterranean-fever;None;0;0;0
postpericardiotomy-syndrome;None;0;0;0
rheumatoid-pleuritis;None;0;0;0
asbestosis;pulmonology;1;0;8
sickle-cell-disease;None;0;0;0
amebiasis;None;0;0;0
lupus-pleuritis;None;0;0;0
dermatitis;dermatology;0;0;0
hepatitis_b;gastroenterology;1;5;5
drug-induced-liver-injury;None;0;0;0
wilson-disease;None;0;0;0
hepatitis-c;None;0;0;0
hepatocellular-carcinoma;None;0;0;0
autoimmune-hepatitis;None;0;0;0
cirrhosis;hepatology;0;0;8
hand,_foot_and_mouth_disease;dermatology;0;0;3
herpangina-;None;0;0;0
herpetic-gingivostomatitis;None;0;0;0
strep-throat-;None;0;0;0
mumps;GP / pediatry;0;1;1
glandular-fever-;None;0;0;0
otitis_externa;otolaryngology;0;1;6
furunculosis;None;0;0;0
contact-dermatitis-of-the-ear-canal;None;0;0;0
ramsey-hunt-syndrome;None;0;0;0
temporomandibular-joint-tmj-syndrome;None;0;0;0
acute-otitis-media;None;0;0;0
carcinoma-of-the-ear-canal;None;0;0;0
psoriasis-vulgaris;None;0;0;0
verrucous-lupus-erythematosus;None;0;0;0
stasis-dermatitis;None;0;0;0
lichen-simplex-chronicus;None;0;0;0
prurigo-nodularis;dermatology;0;0;0
melanoma;dermatology;10;1;5
keratoacanthoma;None;0;0;0
dermatofibroma;None;0;0;0
benign-lesions;None;0;0;0
solar-lentigo;None;0;0;0
blue-nevus;None;0;0;0
allergic_rhinitis;allergology;0;3;6
wegener-s-granulomatosis;pulmonology;0;0;0
midline-granuloma;None;0;0;0
deviated-septum;None;0;0;0
nasal-tumors;None;0;0;0
enlarged-adenoids;None;0;0;0
relapsing-polychondritis;None;0;0;0
hypertrophic-turbinates;None;0;0;0
dermatitis_herpetiformis;dermatology;2;0;6
bullous-pemphigoid;None;0;0;0
bullous-lupus;None;0;0;0
urticaria;None;0;0;0
scabies;dermatology;4;0;3
arthropods-bites;None;0;0;0
atopic-dermatitis;None;0;0;0
linear-immunoglobulin-a-iga-bullous-dermatosis;None;0;0;0
mouth_cancer;otolaryngology;0;5;5
metastatic-tumour;None;0;0;0
-hairy-tongue;None;0;0;0
malignant-salivary-gland-tumours;None;0;0;0
insect-bites;None;0;0;0
papular-urticaria;None;0;0;0
folliculitis;None;0;0;0
gastro-oesophageal_reflux_disease_(gord);gastroenterology;6;1;0
stomach-ulcers;gastroenterology;0;0;0
esophageal-cancer;gastroenterology;2;0;8
gastroparesis;gastroenterology;0;0;0
esophagitis;gastroenterology;0;0;0
autistic_spectrum_disorder_(asd);psychiatry;2;1;4
ocd;psychiatry;0;0;0
avoidant-personality-disorder;None;0;0;0
social-communication-disorder;None;0;0;0
genetic-disorders;None;0;0;0
reactive-attachment-disorder;None;0;0;0
transient_ischaemic_attack_(tia);neurology;3;1;5
hypoglycemia;endocrinology;0;0;0
falls-trauma;None;0;0;0
vertigo;None;0;0;0
central-nervous-system-infection;None;0;0;0
seizure-disorder;None;0;0;0
myocarditis;None;0;0;0
intussusception;None;0;0;0
bowel-perforation;None;0;0;0
mesenteric-ischemia;cardiology;0;0;0
clostridium-difficile-colitis;None;0;0;0
abdominal-aortic-aneurysms-;None;0;0;0
acs;None;0;0;0
volvulus;None;0;0;0
ischemic-colitis;None;0;0;0
breast_cancer_(female);oncology;1;14;1
ringworm_and_other_fungal_infections;dermatology;3;1;2
nummular-eczema;None;0;0;0
granuloma-annulare;None;0;0;0
acute-ischemic-colitis;None;0;0;0
viral-hepatitis;None;0;0;0
pancreatic-carcinoma;None;0;0;0
dumping-syndrome;None;0;0;0
colon-carcinoma;None;0;0;0
whipple-s-disease;None;0;0;0
tropical-sprue;None;0;0;0
medication-reactions;None;0;0;0
colitis-from-other-causes;None;0;0;0
colon-infections;None;0;0;0
sjogren's_syndrome;rheumatology;3;3;0
menopause;gynecology;0;3;0
sinusitis;otolaryngology;1;3;7
cold;otolaryngology;0;0;0
rhinitis;None;0;0;0
dental-trauma;None;0;0;0
immuno-deficiency;None;0;0;0
fungul-infection;None;0;0;0
dental-infection;None;0;0;0
nasal-polyposis;None;0;0;0
silicosis;None;0;0;0
non-specific-interstitial-pneumonitis;None;0;0;0
drug-induced-interstitial-pneumonitis;None;0;0;0
combined-pulmonary-fibrosis-and-emphysema;None;0;0;0
pleuropulmonary-fibroelastosis;None;0;0;0
coal-worker-pneumoconiosis;None;0;0;0
chronic-hypersensitivity-pneumonitis;None;0;0;0
raynaud's_phenomenon;rheumatology;0;1;2
acrocyanosis;None;0;0;0
chilblains;dermatology;0;1;5
livedo-reticularis;None;0;0;0
atopic_eczema;dermatology;4;0;5
dermatophyte-infection;None;0;0;0
immunodeficiency-disorder;None;0;0;0
systemic-diseases;None;0;0;0
neurodermatitis;None;0;0;0
coronavirus_(covid-19);infectious disease;0;2;4
pulmonary-tuberculosis;None;0;0;0
middle-east-respiratory-syndrome;None;0;0;0
common-cold;None;0;0;0
febrile-neutropenia;None;0;0;0
brain_tumours;neurology;3;0;0
headaches-;neurology;0;0;0
pseudotumor-cerebri;neurology;0;0;0
covid-19;None;0;0;0
carbon-monoxide-co-poisoning;None;0;0;0
-primary-biliary-cholangitis;None;0;0;0
pseudocirrhosis;None;0;0;0
budd-chiari-syndrome;None;0;0;0
fulminant-hepatic-failure;None;0;0;0
idiopathic-portal-hypertension;None;0;0;0
hepatic-sarcoidosis;None;0;0;0
congenital-hepatic-fibrosis;None;0;0;0
liver-metastases;None;0;0;0
allergic-reaction;None;0;0;0
fift-disease;None;0;0;0
scarlet-fever;None;0;3;0
toxic-shock-syndrome;None;0;0;0
chickenpox;GP / pediatry;0;1;1
hand-foot-and-mouth-disease;None;0;0;0
bronchiectasis;pulmonology;1;1;1
chronic-cough;None;0;0;0
empyema;None;0;0;0
bronchiolitis-obliterans;None;0;0;0
endocarditis;cardiology;0;2;4
pertussis;None;0;0;0
diffuse-alveolar-hemorrhage;None;0;0;0
acute-respiratory-distress-syndrome;None;0;0;0
acute-bronchitis;None;0;0;0
lung-abscess;None;0;0;0
acute-decompensated-heart-failure;None;0;0;0
diffuse-interstitial-lung-disease;None;0;0;0
hypercalcemia;None;0;0;0
premenstrual-dysphoric-disorder;None;0;0;0
cyclothymic-disorder;None;0;0;0
adhd;None;0;0;0
vitamin-d-deficiency;None;0;0;0
posttraumatic-stress-disorder;None;0;0;0
anxiety;psychiatry;2;1;2
ovarian_cyst;gynecology;1;0;3
ruptured-hemorrhagic-cyst;None;0;0;0
ruptured-ectopic;None;0;0;0
ovarian-torsion;None;0;0;0
idiopathic_pulmonary_fibrosis;pulmonology;1;0;4
hypersensitivity-pneumonitis;None;0;0;0
drug-induced-lung-diseases;None;0;0;0
idiopathic-nonspecific-interstitial-pneumonia;None;0;0;0
connective-tissue-disease;None;0;0;0
yeast-infections;None;0;0;0
bacterial_vaginosis;gynecology;1;2;2
pseudogout;None;0;0;0
septic-arthritis;None;0;0;0
non-hodgkin-lymphoma-nhl-;None;0;0;0
acute-gastritis;None;0;0;0
chronic-gastritis;None;0;0;0
esophageal-diverticulum;None;0;0;0
caustic-esophagitis;None;0;0;0
infectious-esophagitis;None;0;0;0
booerhaave-syndrome;None;0;0;0
reflux-esophagitis;None;0;0;0
esophageal-varices;None;0;0;0
esophageal-ulcer;None;0;0;0
osteosarcoma;orthopedy;0;1;8
chondrosarcoma;None;0;0;0
malignant-fibrous-histiocytoma;None;0;0;0
chordoma;None;0;0;0
osteoblastoma;None;0;0;0
chondroblastoma-;None;0;0;0
fibrosarcoma;None;0;0;0
langerhans_cell_histiocytosis;hematology;0;0;1
nephrolithiasis;urology;0;0;0
adnexal-torsion;None;0;0;0
perforated-viscus;None;0;0;0
rupture-or-haemorrhage-of-an-ovarian-cyst;None;0;0;0
chagas-disease-;None;0;0;0
colonic-obstruction;None;0;0;0
abdominal-hernias;None;0;0;0
colon-cancer;gastroenterology;0;0;0
dystonia;neurology;0;0;5
tics;None;0;0;0
myoclonus;None;0;0;0
chorea;None;0;0;0
tremor;None;0;0;0
gastric-reflux-disease;None;0;0;0
copd-;None;0;0;0
aortic_aneurysm_and_dissection;cardiology;0;0;5
chest-pain;None;0;0;0
back-pain;None;0;0;0
abdominal-pain;None;0;0;0
acute-congestive-heart-failure;None;0;0;0
pressure_ulcers;dermatology;0;0;8
arterial-insufficiency;None;0;0;0
venous-engorgement;None;0;0;0
incontinence-associated-dermatitis;None;0;0;0
skin-tears;None;0;0;0
necrotising-fasciitis-;None;0;0;0
bruising;None;0;0;0
terminal-skin-ulcers;None;0;0;0
labyrinthitis;otolaryngology;0;2;3
brain-disease;None;0;0;0
head-injury;None;0;0;0
prescription-drugs-side-effects;None;0;0;0
acute_myeloid_leukaemia;hematology;3;1;2
wbc-increase;None;0;0;0
lymphoblastic-leukemia;None;0;0;0
ureteral-trauma;None;0;0;0
renal-cell-carcinoma;None;0;0;0
renal-transitional-cell-carcinoma;None;0;0;0
xanthogranulomatous-cholecystitis;gastroenterology;0;0;0
haemorrhagic-cystitis-non-infectious;None;0;0;0
diabetes-mellitus;endocrinology;0;0;0
cardiac-tamponade;None;0;0;0
myocardial-infraction;None;0;0;0
pancreatic-tumours;None;0;0;0
